"eid";"pincode";"location";"area";"target_cost_per_sqft";"stage";"subcat_id";"subcat_name";"SUM(ed.qty)"
"5075";"670676";"Kadavathur_";"2500";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"16000.00"
"5076";"695584";"Andoorkonam_";"0";"0.00";NULL;"115";"Cement";"0.00"
"5076";"695584";"Andoorkonam_";"0";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"200.00"
"5077";"695001";"Thiruvananthapuram__Govt_Press_";"0";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"11500.00"
"5078";"673586";"Adivaram_Pudupadi_";"2500";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"16000.00"
"5079";"689549";"Maramon_";"2680";"0.00";NULL;"115";"Cement";"1500.00"
"5079";"689549";"Maramon_";"2680";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"500.00"
"5079";"689549";"Maramon_";"2680";"0.00";NULL;"123";"Tiles_-_Vitrified";"2600.00"
"5079";"689549";"Maramon_";"2680";"0.00";NULL;"124";"Tiles_-_Ceramic";"250.00"
"5079";"689549";"Maramon_";"2680";"0.00";NULL;"301";"Granites_and_Marbles";"600.00"
"5081";"682020";"Kadavanthara_";"1500";"1400.00";"Structure";"115";"Cement";"500.00"
"5083";"673639";"Areacode_";"0";"0.00";NULL;"115";"Cement";"110.00"
"5084";"676517";"Pookkottur_";"2500";"0.00";NULL;"153";"Electrical_Switches__Sockets_and_Plugs";"45.00"
"5084";"676517";"Pookkottur_";"2500";"0.00";NULL;"258";"Cover_Plates_and_Mounting_Frames";"35.00"
"5085";"673591";"Meenangadi_";"2000";"0.00";NULL;NULL;"Miscellaneous";"250.00"
"5085";"673591";"Meenangadi_";"2000";"0.00";NULL;"350";"Single_and_Multicore_Cables";"240.00"
"5086";"673101";"Vadakara_";"4000";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"16000.00"
"5088";"682030";"Kakkanad_";"2000";"0.00";NULL;"123";"Tiles_-_Vitrified";"20000.00"
"5088";"682030";"Kakkanad_";"2000";"0.00";NULL;"158";"Wash_Basins_and_Pedestals";"3.00"
"5088";"682030";"Kakkanad_";"2000";"0.00";NULL;"159";"Faucets";"4.00"
"5088";"682030";"Kakkanad_";"2000";"0.00";NULL;"160";"WCs__Flushing_and_Accessories";"4.00"
"5088";"682030";"Kakkanad_";"2000";"0.00";NULL;"161";"Shower_and_Shower_Accessories";"1.00"
"5088";"682030";"Kakkanad_";"2000";"0.00";NULL;"306";"Allied_Products";"3.00"
"5088";"682030";"Kakkanad_";"2000";"0.00";NULL;"308";"Valves";"1.00"
"5089";"695307";"Kaikara_";"0";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"2024.62"
"5090";"691003";"Kavanad_";"2600";"0.00";NULL;"115";"Cement";"300.00"
"5090";"691003";"Kavanad_";"2600";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"4000.00"
"5090";"691003";"Kavanad_";"2600";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"1000.00"
"5090";"691003";"Kavanad_";"2600";"0.00";NULL;"253";"Coarse_Aggregates_and_Boulders";"1000.00"
"5090";"691003";"Kavanad_";"2600";"0.00";NULL;"317";"Tata_Steel";"4000.00"
"5090";"691003";"Kavanad_";"2600";"0.00";NULL;"333";"Clay_and_Laterite_Bricks";"10000.00"
"5091";"695020";"Nemom_";"1380";"0.00";NULL;"115";"Cement";"0.00"
"5091";"695020";"Nemom_";"1380";"0.00";NULL;"116";"Rebars_and_Binding_Wires";"0.00"
"5092";"679330";"Nilambur_RS_";"0";"0.00";NULL;"115";"Cement";"40.00"
"5093";"695317";"Thonnakkal_";"69280";"0.00";NULL;"328";"Plywood";"19200.00"
"5094";"695587";"Chempazhanthy_";"2200";"0.00";NULL;"117";"Sand_and_Fine_Aggregates";"150.00"
"5094";"695587";"Chempazhanthy_";"2200";"0.00";NULL;"119";"Cement_Based_Bricks";"700.00"
