pincode,area,subcat_name,SUM(ed.qty)
695006,4000,Cement,4000
695006,4000,RebarsandBindingWires,15000
695006,4000,Bricks,40000
695006,4000,SandandFineAggregates,7200
695003,1800,SandandFineAggregates,14000
695003,1800,Cement,1440
695003,1800,CoarseAggregatesandBoulders,7290
695025,3000,ElectricalWiresandcables,2
695025,3000,Tiles-Vitrified,10
695025,3000,Cement,7200
695025,3000,Faucets,4
695025,3000,CoverPlatesandMountingFrames,3
695025,3000,CoarseAggregatesandBoulders,8000
695025,3000,PVCandOtherPipes,4
695025,3000,Boxes,2
695025,3000,SandandFineAggregates,9600
695025,3000,WallandRoofPaints,6
695025,3000,Switchgear,1
695025,3000,RebarsandBindingWires,15
695043,2500,Cement,6000
695043,2500,CoarseAggregatesandBoulders,6400
695043,2500,SandandFineAggregates,8000
695582,1500,SandandFineAggregates,5000
695582,1500,Cement,3800
695010,1500,Cement,3600
695010,1500,CoarseAggregatesandBoulders,4000
695010,1500,SandandFineAggregates,5000
695011,6000,FaucetandShowerTrims,3
695011,6000,PipeFittings,72
695011,6000,Cement,5400
695011,6000,Valves,4
695011,6000,SandandFineAggregates,15500
695011,6000,Faucets,6
695011,6000,CoarseAggregatesandBoulders,5000
695011,6000,ShowerandShowerAccessories,3
695011,6000,FaucetandShowerTrims,1008
695011,6000,CementBasedBricks,2500
691506,5000,Cement,12000
691506,5000,CoarseAggregatesandBoulders,26053
691506,5000,DistributionBoardsandEnclosures,2
695010,10000,CoarseAggregatesandBoulders,26800
695010,10000,SandandFineAggregates,38000
695010,10000,Cement,16000
695583,100000,CoarseAggregatesandBoulders,268000
695583,100000,SandandFineAggregates,380000
695582,3000,SandandFineAggregates,11800
695582,3000,Cement,7400
695581,1600,Cement,2560
695581,1600,SandandFineAggregates,5200
695522,1500,CoarseAggregatesandBoulders,4050
695522,1500,SandandFineAggregates,5000
695522,1500,Cement,2400
695016,2000,Cement,3200
695016,2000,CoarseAggregatesandBoulders,1400
695016,2000,SandandFineAggregates,6600
673017,1500,Boxes,29
673017,1500,ElectricalConduitFittings,50
673017,1500,ElectricalConsumables,20
673017,1500,ElectricalWiresandcables,20
695522,2000,WaterTanksandStorage,6047
695522,2000,Boxes,94
695522,2000,RebarsandBindingWires,7000
695522,2000,ElectricalConsumables,1
695522,2000,CoarseAggregatesandBoulders,1000
695522,2000,CoverPlatesandMountingFrames,10
695522,2000,SandandFineAggregates,2200
682301,2500,ElectricalWiresandcables,42
682301,2500,Switchgear,1
682301,2500,ElectricalConsumables,3
695582,500,KitchenSinks,1
695582,500,ElectricalWiresandCables,23
673003,2000,Cement,600
695014,1200,,1
691535,1000,NULL,2
691535,1500,,4
682016,4000,Cement,30000
680006,5000,Tiles-Vitrified,48000
695582,5000,Tiles-Outdoor,484
695582,5000,Tiles-Ceramic,498
695582,5000,Faucets,5
695582,5000,Tiles-Vitrified,480705
695582,5000,Mirrors,1
691510,4600,Cement,3700
691510,4600,Steel,60000
688524,20000,WallTiles,2
688524,20000,CommonConsumables,150
688524,20000,Cement,16000
688524,20000,SandandFineAggregates,20000
688524,20000,,303715
688524,20000,CoarseAggregatesandBoulders,11000
688524,20000,Tiles-Vitrified,2
688524,20000,RoofingSheets,1500
695584,900,Cement,200
695584,900,Doors,1
695011,5000,,1400
695011,5000,Cement,50000
695011,5000,RebarsandBindingWires,31000
682303,15000,Cement,20000
695586,2000,CoarseAggregatesandBoulders,2500
695586,2000,Cement,2000
695586,2000,SandandFineAggregates,3600
689544,2300,SandandFineAggregates,2000
689544,2300,CoarseAggregatesandBoulders,1000
689544,2300,Cement,600
689544,2300,Tiles-Vitrified,2300
689544,2300,Steel,2500
676305,15000,Cement,6000
676305,15000,Steel,60000
676305,15000,SandandFineAggregates,27000
676305,15000,CoarseAggregatesandBoulders,20250
682032,3000,Cement,7200
682030,18000,RebarsandBindingWires,2000
682030,18000,Cement,7200
682030,75000,Cement,32001
682030,75000,RebarsandBindingWires,100000
682017,45000,Cement,20000
682030,190000,Cement,76000
682030,190000,RebarsandBindingWires,700000
695009,2000,Cement,4000
695584,2000,Cement,12000
695588,1600,Switchgear,20
695588,1600,Cement,300
695588,1600,Fans,2
695588,1600,Tiles-Outdoor,1000
695588,1600,CladdingMaterials,300
695588,1600,CoverPlatesandMountingFrames,40
695588,1600,SandandFineAggregates,3600
695588,1600,Lamps,50
695588,1600,Pavers,1000
695588,1600,Pumps,1
695588,1600,Boxes,70
695588,1600,ChandeliersandDesignerLights,40
695588,1600,ElectricalWiresandcables,30
695588,1600,WaterTanksandStorage,1
695588,1600,ElectricalConduits,10
695588,1600,Steel,500
695588,1600,WhiteCementsandPutty,50
695588,1600,PipeFittings,300
695588,1600,ElectricalConduitFittings,20
695588,1600,Tiles-Vitrified,1600
695588,1600,CladdingTiles,400
670703,2000,NULL,1100
680631,1860,WashBasinsandPedestals,4
680631,1860,Cement,150
682034,2000,Steel,2000
682034,2000,Cement,8000
690104,2000,Cement,2000
695582,2000,SandandFineAggregates,10000
695582,2000,CoarseAggregatesandBoulders,5000
695582,2000,Steel,10000
695582,2000,Cement,900
676505,15000,RoofingSheets,5000
682301,4000,NULL,1090
683517,30000,Bricks,1320465
683517,30000,Cement,27000
683517,30000,Tiles-Vitrified,26000
683517,30000,RebarsandBindingWires,86495
683517,30000,WallandRoofPaints,8000
683517,30000,SandandFineAggregates,55000
683517,30000,CementBasedBricks,100000
683517,30000,CoarseAggregatesandBoulders,54000
673016,2000,Tiles-Ceramic,1500
682026,3000,Cement,1200
682026,3000,Tiles-Vitrified,3900
682026,3000,RebarsandBindingWires,12000
682026,3000,SandandFineAggregates,5400
682026,3000,WallandRoofPaints,1200
682026,3000,CoarseAggregatesandBoulders,4050
682026,3000,Bricks,70000
695582,4500,Faucets,125
695582,4500,RebarsandBindingWires,20000
695582,4500,Cement,160
695141,15000,NULL,4200
695032,2000,,4
686668,1500,Cement,1000
682306,2000,Fans,6
682024,2000,Cement,1000
682024,2000,Faucets,27
682024,2000,WaterTanksandStorage,2
682024,2000,ShowerandShowerAccessories,13
682024,2000,,28
682024,2000,Valves,13
682024,2000,BathroomAccessories,39
682024,2000,WashBasinsandPedestals,13
682024,2000,Mirrors,13
683104,2000,Cement,420
683104,2000,RebarsandBindingWires,40000
695582,2000,CoverPlatesandMountingFrames,47
682304,2000,Bricks,350
682304,2000,,130
673012,5000,Cement,300
695004,2000,CoarseAggregatesandBoulders,16200
695004,2000,Cement,2850
695004,2000,RebarsandBindingWires,47000
695004,2000,SandandFineAggregates,10800
695571,4000,TataSteel,267
695571,4000,KitchenSinks,2
695571,4000,Cement,343
680567,2000,NULL,1000
673017,17000,IronandSteelSections(kg),904.3
673017,17000,Boxes,20
673017,17000,WoodenandMetallicPaints,10
673017,17000,RebarsandBindingWires,2039.5
673017,17000,WallandRoofPaints,4
673017,17000,ElectricalConduits,100
673017,17000,GranitesandMarbles,4312
673017,17000,CommonConsumables,7
673017,17000,ElectricalConduitFittings,570
673017,17000,Tiles-Vitrified,8817
673017,17000,Valves,8
673017,17000,ElectricalWiresandcables,5065
673017,17000,WhiteCementsandPutty,7
673017,17000,PlumbingConsumables,1113
